season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
2024,REG,0,Tyler Allgeier,RB,ATL,3.9283540372670815,18.97810218978102,2.8092619047619047,137,644,4.700729927007299,3,00-0037263,Tyler,Allgeier,25,T.Allgeier,560.0078028172909,83.9921971827091,0.6130817312606504,0.5036496350364964
2024,REG,0,J.K. Dobbins,RB,LAC,3.616994475138122,21.025641025641026,2.7910790960451974,195,905,4.641025641025641,9,00-0036158,Jkaylin,Dobbins,27,J.Dobbins,767.1726895431804,114.82731045681965,0.598058908629269,0.34375
2024,REG,0,Brian Robinson,RB,WAS,3.6033667083854826,14.43850267379679,2.6961309523809525,187,799,4.2727272727272725,8,00-0037746,Brian,Robinson,8,B.Robinson,738.909754822344,15.090245177656016,0.08201220205247835,0.34782608695652173
2024,REG,0,Jaylen Warren,RB,PIT,3.7287279843444234,18.333333333333332,2.773194444444443,120,511,4.258333333333334,1,00-0037228,Jaylen,Warren,30,J.Warren,524.5189067045203,-13.518906704520305,-0.11265755587100254,0.375
2024,REG,0,Ray Davis,RB,BUF,4.236108597285068,31.858407079646017,2.8703039215686283,113,442,3.911504424778761,3,00-0039875,Re'Mahn,Davis,22,R.Davis,433.215707068481,8.784292931519019,0.07773710558866388,0.4247787610619469
2024,REG,0,Jerome Ford,RB,CLE,3.401592920353982,4.807692307692308,2.940043010752689,104,565,5.4326923076923075,3,00-0037267,Jerome,Ford,34,J.Ford,451.3188109109659,113.68118908903409,1.1037008649420785,0.39805825242718446
2024,REG,0,Aaron Jones,RB,MIN,3.871599297012304,18.43137254901961,2.749901709401709,255,1138,4.462745098039216,5,00-0033293,Aaron,Jones,33,A.Jones,1061.5029390851528,42.497060914847225,0.16931099966074592,0.4063745019920319
2024,REG,0,Devon Achane,RB,MIA,4.057927232635061,20.19704433497537,2.8241369047619056,203,907,4.467980295566503,6,00-0039040,Devon,Achane,28,D.Achane,957.9559516065059,-80.95595160650589,-0.4172987196211644,0.30412371134020616
2024,REG,0,Antonio Gibson,RB,NE,3.73042750929368,14.166666666666666,3.0073714285714304,120,538,4.483333333333333,1,00-0036328,Antonio,Gibson,4,A.Gibson,452.66535549436924,83.33464450563076,0.7002911302994181,0.453781512605042
2024,REG,0,David Montgomery,RB,DET,3.8819096774193556,25.405405405405407,2.721854651162791,185,775,4.1891891891891895,12,00-0035685,David,Montgomery,5,D.Montgomery,759.1267621144887,-4.126762114488656,-0.02279979068778263,0.4198895027624309
2024,REG,0,Zach Charbonnet,RB,SEA,3.7602811950790858,21.48148148148148,2.9954583333333327,135,569,4.214814814814815,8,00-0039165,Zach,Charbonnet,26,Z.Charbonnet,478.70276272992004,73.29723727007996,0.5552821005309088,0.4015151515151515
2024,REG,0,Kareem Hunt,RB,KC,3.840947802197804,17.5,2.6802010582010563,200,728,3.64,7,00-0033923,Kareem,Hunt,29,K.Hunt,819.3630882358967,-112.36308823589673,-0.5732810624280446,0.34183673469387754
2024,REG,0,Jordan Mason,RB,SF,3.5602534854245884,33.33333333333333,2.830384057971014,153,789,5.1568627450980395,3,00-0037525,Jordan,Mason,24,J.Mason,568.3641402677318,206.63585973226816,1.3775723982151211,0.4866666666666667
2024,REG,0,Rachaad White,RB,TB,3.9711908646003273,22.22222222222222,2.6232519685039364,144,613,4.256944444444445,3,00-0037256,Rachaad,White,1,R.White,564.5422395876784,48.45776041232159,0.3365122250855666,0.4027777777777778
2024,REG,0,Saquon Barkley,RB,PHI,3.0986832917705724,20.579710144927535,2.7684423076923075,345,2005,5.811594202898551,13,00-0034844,Saquon,Barkley,26,S.Barkley,1442.8344487110774,549.1655512889226,1.6247501517423746,0.4408284023668639
2024,REG,0,Alvin Kamara,RB,NO,4.411263157894737,25.438596491228072,2.7629447236180904,228,950,4.166666666666667,6,00-0033906,Alvin,Kamara,41,A.Kamara,964.5676668999431,-34.567666899943106,-0.15295427831833233,0.3805309734513274
2024,REG,0,Chuba Hubbard,RB,CAR,3.332761506276151,22.400000000000002,2.615353191489362,250,1195,4.78,10,00-0036555,Chuba,Hubbard,30,C.Hubbard,892.0800873688786,281.9199126311214,1.1649583166575264,0.512396694214876
2024,REG,0,Rico Dowdle,RB,DAL,3.3709175162187215,16.595744680851062,2.659842592592594,235,1079,4.591489361702128,2,00-0036139,Rico,Dowdle,23,R.Dowdle,974.194269224939,60.805730775060965,0.2666918016450042,0.4166666666666667
2024,REG,0,Najee Harris,RB,PIT,4.246778523489934,26.61596958174905,2.8377261410788397,263,1043,3.9657794676806084,6,00-0036893,Najee,Harris,22,N.Harris,1015.7845187062219,-2.7845187062218884,-0.010962672071739718,0.3543307086614173
2024,REG,0,Tyrone Tracy,RB,NYG,3.634207389749702,17.708333333333336,2.710826815642458,192,839,4.369791666666667,5,00-0039384,Tyrone,Tracy,29,T.Tracy,832.9110965272959,-13.911096527295854,-0.07439089052029868,0.3048128342245989
2024,REG,0,Joe Mixon,RB,HOU,4.1910826771653555,26.122448979591837,2.8343095238095244,245,1016,4.146938775510204,11,00-0033897,Joe,Mixon,28,J.Mixon,914.2241629012027,88.7758370987973,0.36989932124498875,0.38333333333333336
