cluster_name,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,receiving_air_yards_per_game,mean,min,max
Bottom Tier,1.0484077911921048,1.5651233087899754,9.284103969741224,0.015083634230693055,8.70988658255325,9.400444444444444,-1.4,148.62
Elite,5.791564280935939,8.162582367127822,66.599628550297,0.4195230497369535,63.20519256441717,136.789696969697,65.4,207.76
High Tier,3.941819603640871,5.743296873019724,42.752175220246485,0.31644713590414947,43.78719083518292,83.84,3.3000000000000003,140.5
Low Tier,1.4267282501811915,2.019216930128695,14.866901608848668,0.22796585832468186,13.089307592407593,26.445760000000003,6.2,110.52000000000001
Mid Tier,2.6279343868121594,3.7857388733895485,27.564203481079083,0.16689815929811108,25.65879419921127,50.19950819672131,1.6,113.30000000000001
