fantasy_points_consistency,receiving_percentage,ppr_boost,position,season,reception_ratio_weighted_avg,air_yard_share,yards_per_target,air_yards_differential,reception_ratio_pct_change,rush_over_expected_efficiency,yards_per_target_pct_change,yards_per_target_vs_weighted_avg,separation_score,yards_per_target_change,reception_ratio,cluster_rank,reception_ratio_change,durability_score,passing_td_to_int_ratio,decision_speed,aggressive_efficacy,yac_ability
-0.7744631674707908,-1.1131428103848584,0.0,QB,2017,-0.9820937631788466,,-1.2666739447727404,-2.305006785263677,-0.1449197375228555,,-0.1236973132503448,-0.5263810849880844,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,2.262767475529832,5.18346674417538,,43.26102066345711,
2.0176796253474545,-0.8432382480199354,0.0,QB,2018,-0.9820937631788466,,0.13046465942189486,-1.9511162652615592,7.088122124738076,,3.982709534600785,0.7517126892464174,,1.7590069446387007,1.4049046962068932,2.0,4.254933731831742,2.262767475529832,3.3237297523928726,,15.092262064537787,
1.998117746374257,-1.1131428103848584,0.0,QB,2019,0.713202029689348,,-1.2666739447727404,-2.191970975739245,-0.8682239237489486,,-0.19213742738119696,-1.1654279721053353,,-1.6682318779474872,-1.712735627403393,2.0,-4.228228459755426,2.262767475529832,3.819659616868208,,13.683728940135447,
1.3430427469929291,-1.1131428103848584,0.0,QB,2020,0.14810343206661636,,-1.2666739447727404,-2.3354350005538054,-0.1449197375228555,,-0.1236973132503448,-0.9524123430662518,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,2.262767475529832,4.274261992637266,,35.354247646612784,
1.8517319889486756,-1.1131428103848584,0.0,QB,2021,-0.4169951655561151,,-1.2666739447727404,-2.2663771218084725,-0.1449197375228555,,-0.1236973132503448,-0.739396714027168,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,2.262767475529832,4.615213774464059,,23.89724134096487,
1.3621494115746826,-1.1131428103848584,0.0,QB,2022,-0.9820937631788466,,-1.2666739447727404,-2.379886586400057,-0.1449197375228555,,-0.1236973132503448,-0.5263810849880844,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,2.262767475529832,3.516591366355503,,39.5100704513026,
-0.7744631674707908,-1.1131428103848584,0.0,QB,2017,-0.9820937631788466,,-1.2666739447727404,-1.4206516896290138,-0.1449197375228555,,-0.1236973132503448,-0.5263810849880844,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,1.2196786703564801,3.6491837259548117,,91.79729843411445,
1.7079203477630103,-1.0329537737402075,0.0,QB,2018,-0.9820937631788466,,-1.0338175107403014,-1.433811161990376,7.088122124738076,,0.5607038280581769,-0.3133654559490008,,0.3309907685611225,1.4049046962068932,2.0,4.254933731831742,1.2196786703564801,8.456603849712595,,139.56947696788262,
1.4047722561564377,-1.1131428103848584,0.0,QB,2019,0.713202029689348,,-1.2666739447727404,-1.4660339390633992,-0.8682239237489486,,-0.19213742738119696,-0.6328888995076263,,-0.24021570186990882,-1.712735627403393,2.0,-4.228228459755426,1.2196786703564801,8.933936344270103,,127.53027113965955,
1.9725053294407255,-1.1131428103848584,0.0,QB,2020,0.14810343206661636,,-1.2666739447727404,-0.9266372937017288,-0.1449197375228555,,-0.1236973132503448,-0.597386294667779,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,1.2196786703564801,5.18346674417538,,66.77248549887413,
-0.7744631674707908,-1.1131428103848584,0.0,QB,2017,-0.9820937631788466,,-1.2666739447727404,-1.6896051154700122,-0.1449197375228555,,-0.1236973132503448,-0.5263810849880844,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,-1.144253875194416,2.4558524895610363,,84.40290437171896,
-0.47663039807014485,-1.1131428103848584,0.0,QB,2018,-0.9820937631788466,,-1.2666739447727404,-3.782084616553836,-0.1449197375228555,,-0.1236973132503448,-0.5263810849880844,,0.04538753334560682,-1.712735627403393,4.0,0.013352636038157882,-1.144253875194416,0.06919001677348526,,0.0,
-0.6665644257479997,-1.1131428103848584,0.0,QB,2019,-0.9820937631788466,,-1.2666739447727404,-0.4462626262626266,-0.1449197375228555,,-0.1236973132503448,-0.5263810849880844,,0.04538753334560682,-1.712735627403393,5.0,0.013352636038157882,-1.144253875194416,-0.27176176505330774,,39.3980048182937,
-0.7744631674707908,-1.1131428103848584,0.0,QB,2017,-0.9820937631788466,,-1.2666739447727404,-2.181170333902363,-0.1449197375228555,,-0.1236973132503448,-0.5263810849880844,,0.04538753334560682,-1.712735627403393,2.0,0.013352636038157882,0.3049133707615653,1.4817045414844852,,105.29780831665741,
-0.7744631674707908,0.731205032442116,0.11525027781755488,TE,2017,-0.9820937631788466,14.293394320949165,0.1483766928090055,,-0.1449197375228555,,-0.1236973132503448,0.7680985068648084,3.3477026775246097,0.04538753334560682,0.0859030208333104,2.0,0.013352636038157882,2.0353726537299495,-0.27176176505330774,,,-0.43042814036380045
2.036205169679328,0.731205032442116,0.09469304873350277,TE,2018,-0.004038498062580596,13.844249785938088,0.45646366706730984,,-0.08812696438213996,,-0.10879642764210862,0.40269477397468817,3.1631536769263033,0.4232625830153662,0.2271294628430073,2.0,0.20549263439461965,2.0353726537299495,-0.27176176505330774,,,-1.5162482675506885
-0.7744631674707908,0.731205032442116,0.4544445577044146,TE,2017,-0.9820937631788466,19.518265390299092,0.23217206739008672,,-0.1449197375228555,,-0.1236973132503448,0.8447539984818793,4.047788221357488,0.04538753334560682,0.5448659862454349,1.0,0.013352636038157882,1.090081088567075,-0.27176176505330774,,,-0.3596664697554564
