season,player_id,games,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,calculated_points,position,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,rushing_yards_per_game,rushing_tds_per_game,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,fantasy_points_per_game,calculated_points_per_game
2017,00-0022803,15,3468.0,19,13.0,26.0,1,0,0,0.0,0,187.32,187.32,249.32,QB,231.2,1.2666666666666666,0.8666666666666667,1.7333333333333334,0.06666666666666667,0.0,0.0,0.0,0.0,12.488,16.621333333333332
2018,00-0022803,16,4299.0,21,11.0,20.0,1,0,0,0.0,0,239.96,239.96,285.96000000000004,QB,268.6875,1.3125,0.6875,1.25,0.0625,0.0,0.0,0.0,0.0,14.9975,17.872500000000002
2019,00-0022803,4,1042.0,6,5.0,7.0,0,0,0,0.0,0,54.38,54.38,76.38000000000001,QB,260.5,1.5,1.25,1.75,0.0,0.0,0.0,0.0,0.0,13.595,19.095000000000002
2019,00-0022824,1,26.0,0,0.0,0.0,0,0,0,0.0,0,1.04,1.04,1.04,PN,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04
2020,00-0022824,1,26.0,0,0.0,0.0,0,0,0,0.0,0,1.04,1.04,1.04,PN,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04
2021,00-0022824,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,PN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,00-0022824,1,4.0,0,0.0,0.0,0,0,0,0.0,0,0.16,0.16,0.16,PN,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16
2017,00-0022921,16,21.0,0,0.0,0.0,0,109,161,1156.0,6,152.44,261.44,206.94,WR,1.3125,0.0,0.0,0.0,0.0,6.8125,10.0625,72.25,0.375,9.5275,12.93375
2018,00-0022921,16,32.0,1,0.0,0.0,0,69,112,734.0,6,116.68,185.68,149.18,WR,2.0,0.0625,0.0,0.0,0.0,4.3125,7.0,45.875,0.375,7.2925,9.32375
2019,00-0022921,16,0.0,0,0.0,0.0,0,73,107,835.0,4,105.5,178.5,144.0,WR,0.0,0.0,0.0,0.0,0.0,4.5625,6.6875,52.1875,0.25,6.59375,9.0
2020,00-0022921,13,0.0,0,0.0,0.0,0,54,72,409.0,1,46.9,100.9,73.9,WR,0.0,0.0,0.0,0.0,0.0,4.153846153846154,5.538461538461538,31.46153846153846,0.07692307692307693,3.6076923076923078,5.684615384615385
2017,00-0022924,15,4259.0,28,14.0,47.0,0,0,0,0.0,0,261.06,261.06,315.06,QB,283.93333333333334,1.8666666666666667,0.9333333333333333,3.1333333333333333,0.0,0.0,0.0,0.0,0.0,17.404,21.004
2018,00-0022924,16,5129.0,34,16.0,98.0,3,1,1,-1.0,0,340.86,341.86,401.35999999999996,QB,320.5625,2.125,1.0,6.125,0.1875,0.0625,0.0625,-0.0625,0.0,21.30375,25.084999999999997
2019,00-0022924,2,351.0,0,1.0,7.0,0,0,0,0.0,0,12.74,12.74,16.74,QB,175.5,0.0,0.5,3.5,0.0,0.0,0.0,0.0,0.0,6.37,8.37
2020,00-0022924,15,3803.0,33,10.0,11.0,0,0,0,0.0,0,267.22,267.22,305.22,QB,253.53333333333333,2.2,0.6666666666666666,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,17.814666666666668,20.348000000000003
2021,00-0022924,16,3740.0,22,10.0,5.0,1,0,0,0.0,0,218.1,218.1,264.1,QB,233.75,1.375,0.625,0.3125,0.0625,0.0,0.0,0.0,0.0,13.63125,16.50625
2017,00-0022942,16,4515.0,28,10.0,-2.0,0,0,0,0.0,0,270.4,270.4,312.40000000000003,QB,282.1875,1.75,0.625,-0.125,0.0,0.0,0.0,0.0,0.0,16.9,19.525000000000002
2018,00-0022942,16,4308.0,32,12.0,7.0,0,0,0,0.0,0,285.02,285.02,325.02,QB,269.25,2.0,0.75,0.4375,0.0,0.0,0.0,0.0,0.0,17.81375,20.31375
2019,00-0022942,16,4615.0,23,20.0,29.0,0,0,0,0.0,0,235.5,235.5,319.5,QB,288.4375,1.4375,1.25,1.8125,0.0,0.0,0.0,0.0,0.0,14.71875,19.96875
2020,00-0022942,16,4169.0,24,11.0,-8.0,0,0,0,0.0,0,239.96,239.96,283.96,QB,260.5625,1.5,0.6875,-0.5,0.0,0.0,0.0,0.0,0.0,14.9975,17.7475
2017,00-0022943,16,0.0,0,0.0,0.0,0,61,79,522.0,4,76.2,137.2,106.7,TE,0.0,0.0,0.0,0.0,0.0,3.8125,4.9375,32.625,0.25,4.7625,6.66875
2018,00-0022943,13,0.0,0,0.0,0.0,0,35,46,400.0,2,52.0,87.0,69.5,TE,0.0,0.0,0.0,0.0,0.0,2.6923076923076925,3.5384615384615383,30.76923076923077,0.15384615384615385,4.0,5.346153846153846
2019,00-0022943,9,0.0,0,0.0,0.0,0,17,24,173.0,0,17.3,34.3,25.8,TE,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,2.6666666666666665,19.22222222222222,0.0,1.9222222222222223,2.8666666666666667
2017,00-0022999,1,0.0,0,0.0,2.0,0,0,0,0.0,0,0.2,0.2,0.2,RB,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
2017,00-0023436,15,4042.0,26,5.0,355.0,1,0,0,0.0,0,295.18,295.18,317.18,QB,269.46666666666664,1.7333333333333334,0.3333333333333333,23.666666666666668,0.06666666666666667,0.0,0.0,0.0,0.0,19.67866666666667,21.145333333333333
2018,00-0023436,10,2180.0,10,5.0,168.0,1,0,0,0.0,0,138.0,138.0,160.0,QB,218.0,1.0,0.5,16.8,0.1,0.0,0.0,0.0,0.0,13.8,16.0
2020,00-0023436,8,1582.0,6,8.0,3.0,0,0,0,0.0,0,71.58,71.58,103.58,QB,197.75,0.75,1.0,0.375,0.0,0.0,0.0,0.0,0.0,8.9475,12.9475
2017,00-0023459,7,1675.0,16,6.0,126.0,0,0,0,0.0,0,129.6,129.6,155.6,QB,239.28571428571428,2.2857142857142856,0.8571428571428571,18.0,0.0,0.0,0.0,0.0,0.0,18.514285714285712,22.228571428571428
2018,00-0023459,16,4442.0,25,2.0,269.0,2,0,0,0.0,0,312.58,312.58,320.58,QB,277.625,1.5625,0.125,16.8125,0.125,0.0,0.0,0.0,0.0,19.53625,20.03625
2019,00-0023459,16,4002.0,26,4.0,183.0,1,0,0,0.0,0,278.38,278.38,296.38000000000005,QB,250.125,1.625,0.25,11.4375,0.0625,0.0,0.0,0.0,0.0,17.39875,18.523750000000003
2020,00-0023459,16,4299.0,48,5.0,149.0,3,1,1,-6.0,0,382.26,383.26,406.76,QB,268.6875,3.0,0.3125,9.3125,0.1875,0.0625,0.0625,-0.375,0.0,23.89125,25.4225
2021,00-0023459,16,4115.0,37,4.0,101.0,3,1,1,-4.0,0,332.3,333.3,348.80000000000007,QB,257.1875,2.3125,0.25,6.3125,0.1875,0.0625,0.0625,-0.25,0.0,20.76875,21.800000000000004
2022,00-0023459,17,3695.0,26,12.0,94.0,1,0,0,0.0,0,239.2,239.2,291.2,QB,217.35294117647058,1.5294117647058822,0.7058823529411765,5.529411764705882,0.058823529411764705,0.0,0.0,0.0,0.0,14.070588235294117,17.129411764705882
2023,00-0023459,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,00-0023500,16,0.0,0,0.0,961.0,3,29,38,245.0,1,144.6,173.6,159.10000000000002,RB,0.0,0.0,0.0,60.0625,0.1875,1.8125,2.375,15.3125,0.0625,9.0375,9.943750000000001
2018,00-0023500,14,0.0,0,0.0,722.0,0,12,16,124.0,1,90.60000000000001,102.60000000000001,96.60000000000001,RB,0.0,0.0,0.0,51.57142857142857,0.0,0.8571428571428571,1.1428571428571428,8.857142857142858,0.07142857142857142,6.471428571428572,6.9
2019,00-0023500,15,0.0,0,0.0,599.0,2,13,16,100.0,0,81.9,94.9,88.4,RB,0.0,0.0,0.0,39.93333333333333,0.13333333333333333,0.8666666666666667,1.0666666666666667,6.666666666666667,0.0,5.46,5.8933333333333335
2020,00-0023500,15,0.0,0,0.0,653.0,2,16,19,89.0,0,84.2,100.2,94.2,RB,0.0,0.0,0.0,43.53333333333333,0.13333333333333333,1.0666666666666667,1.2666666666666666,5.933333333333334,0.0,5.613333333333333,6.28
2019,00-0023534,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,PN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,00-0023564,3,0.0,0,0.0,61.0,0,7,12,73.0,0,13.4,20.400000000000002,16.900000000000002,RB,0.0,0.0,0.0,20.333333333333332,0.0,2.3333333333333335,4.0,24.333333333333332,0.0,4.466666666666667,5.633333333333334
2018,00-0023564,6,0.0,0,0.0,120.0,1,15,23,160.0,2,46.0,61.0,53.5,RB,0.0,0.0,0.0,20.0,0.16666666666666666,2.5,3.8333333333333335,26.666666666666668,0.3333333333333333,7.666666666666667,8.916666666666666
